CallSign,ExerciseTime,Latitude,Longitude,Height
SIA992,29,3.1276,102.373,11887.2
SIA266,29,2.4202,101.8097,9448.8
SIA395,29,2.6234,102.3215,10668.0
SIA431,29,2.9672,102.0417,9448.8
SIA415,29,2.469,102.7693,11887.2
SIA498,29,2.948,102.1784,11887.2
SIA498,30,2.9478,102.1794,11887.2
SIA912,30,2.1666,103.5311,9448.8
SIA989,30,2.7088,101.7779,9448.8
SIA524,30,2.8032,102.5109,11887.2
SIA367,30,2.5659,102.0171,9448.8
SIA42,30,3.2241,101.9403,9448.8
SIA311,30,3.0805,102.1482,11887.2
SIA914,30,2.1607,102.2684,11887.2
SIA941,30,2.6756,102.929,11887.2
SIA598,30,2.203,102.5617,11887.2
SIA415,30,2.468,102.7695,11887.2
SIA777,30,2.2761,103.2079,9448.8
SIA803,30,2.1682,102.4198,10668.0
SIA850,30,2.3564,102.2055,10668.0
SIA865,30,2.5,102.2187,10668.0
SIA431,30,2.9668,102.0427,9448.8
SIA395,30,2.6228,102.3224,10668.0
SIA489,30,2.5684,102.2721,9448.8
SIA266,30,2.4195,101.8105,9448.8
SIA992,30,3.127,102.3722,11887.2
SIA803,31,2.1691,102.4192,10668.0
SIA367,31,2.5667,102.0165,9448.8
SIA42,31,3.2233,101.941,9448.8
SIA914,31,2.1613,102.2676,11887.2
SIA415,31,2.467,102.7697,11887.2
SIA266,31,2.4189,101.8114,9448.8
SIA395,31,2.6223,102.3233,10668.0
SIA498,31,2.9475,102.1804,11887.2
SIA311,31,3.0796,102.1478,11887.2
SIA431,31,2.9664,102.0437,9448.8
SIA865,31,2.5,102.2197,10668.0
SIA598,31,2.2031,102.5606,11887.2
SIA850,31,2.3575,102.2054,10668.0
SIA912,31,2.1667,103.53,9448.8
SIA524,31,2.8035,102.5119,11887.2
SIA992,31,3.1264,102.3714,11887.2
SIA489,31,2.5687,102.2711,9448.8
SIA989,31,2.7078,101.7783,9448.8
